country,year,offshore,entsoe_offshore_wind_generation,entsoe_offshore_wind_installed_capacity,opsd_offshore_wind_generation,opsd_offshore_wind_installed_capacity,entsoe_onshore_wind_generation,entsoe_onshore_wind_installed_capacity,opsd_onshore_wind_generation,opsd_onshore_wind_installed_capacity,ei_wind_installed_capacity,entsoe_solar_generation,entsoe_solar_installed_capacity,opsd_solar_generation,opsd_solar_installed_capacity,ei_solar_installed_capacity,entsoe_reservoir_filling_level,entsoe_hydropower_inflow
Czech Republic,2015,False,,,,,280.0,270.0,280.02,,,1719.0,2050.0,1718.79,,2074.9,,
Czech Republic,2016,False,,,,,229.0,277.0,228.64,,,1723.0,2067.0,1723.28,,2067.9,,
Czech Republic,2017,False,,,,,237.0,277.0,237.12,,,1625.0,2027.0,1625.14,,2075.44,,
Czech Republic,2018,False,,,,,277.0,308.0,276.97,,,1672.0,2040.0,1672.36,,2081.05,,
Czech Republic,2019,False,,,,,284.0,316.0,284.34,,,1695.0,2049.0,1695.26,,2110.67,,
Denmark,2015,True,1230.0,1271.0,1230.44,1264.0,3756.0,3574.0,3755.55,3607.0,5076.97,496.0,601.0,496.03,536.0,782.11,,
Denmark,2016,True,1189.0,1271.0,1189.1,1264.0,3177.0,3574.0,3176.91,3831.0,5245.14,610.0,601.0,609.68,547.0,850.95,,
Denmark,2017,True,1195.0,1271.0,1195.31,1264.0,3525.0,3574.0,3524.78,4161.0,5488.95,682.0,601.0,682.07,547.0,906.35,,
Denmark,2018,True,1176.0,1700.0,1175.76,1701.0,3693.0,4423.0,3692.77,4369.0,6122.66,802.0,1002.0,802.01,547.0,998.0,,
Denmark,2019,True,1676.0,1700.0,1676.49,1701.0,4046.0,4426.0,4046.33,4390.0,6110.54,772.0,1014.0,771.79,547.0,1080.0,,
Estonia,2015,True,,0.0,,,234.0,307.0,234.2,,,0.0,1.0,0.4,,,,
Estonia,2016,True,,0.0,,,211.0,375.0,211.2,,,1.0,1.0,0.7,,,,
Estonia,2017,True,,0.0,,,266.0,384.0,265.6,,,1.0,1.0,0.7,,,,
Estonia,2018,True,,0.0,,,269.0,487.0,269.0,,,1.0,1.0,0.7,,,,
Estonia,2019,True,,0.0,,,274.0,462.0,273.8,,,2.0,33.0,1.8,,,,
Finland,2015,True,,,,,818.0,496.0,817.77,,1005.0,,,,,,4512000.0,
Finland,2016,True,,,,,1292.0,1082.0,1292.4,,1565.0,,,,,,4385000.0,
Finland,2017,True,,,,,1607.0,1432.0,1606.8,,2044.0,,,,,,4079000.0,
Finland,2018,True,,,,,1780.0,1908.0,1779.8,,2041.0,,,,,,4008000.0,
Finland,2019,True,,,,,1833.0,2013.0,1832.6,,2284.0,,3.0,,,,3905000.0,
France,2015,True,,0.0,,,7450.0,10322.0,7450.0,,10298.18,4054.0,6191.0,4054.0,,7137.52,2737368.0,671898.0
France,2016,True,,0.0,,,8050.0,11761.0,8050.0,,11566.56,4899.0,6772.0,4899.0,,7702.08,2845905.0,559374.0
France,2017,True,,0.0,,,10290.0,13569.0,10290.0,,13499.35,5361.0,7660.0,5361.0,,8610.44,2550592.0,569264.0
